File Type,File Name,Format,Annotations,Pages,Size Category,Status
Plan Set A,Plan_Set_A_Technical_Plan_Set_A,HTML,381,1,Medium,Created
Plan Set A,Plan_Set_A_Technical_Plan_Set_A,Markdown,381,1,Medium,Created
Plan Set A,Plan_Set_A_Technical_Plan_Set_A,Text,381,1,Small,Created
Plan Set B,Plan_Set_B_Compliance_Plan_Set_B,HTML,171,1,Medium,Created
Plan Set B,Plan_Set_B_Compliance_Plan_Set_B,Markdown,171,1,Medium,Created
Plan Set B,Plan_Set_B_Compliance_Plan_Set_B,Text,171,1,Small,Created
Plan Set C,Plan_Set_C_Coordination_Plan_Set_C,HTML,98,1,Medium,Created
Plan Set C,Plan_Set_C_Coordination_Plan_Set_C,Markdown,98,1,Medium,Created
Plan Set C,Plan_Set_C_Coordination_Plan_Set_C,Text,98,1,Small,Created
Ausschreibung,Ausschreibung_45_Pages_Complete,HTML,0,45,Large,Created
Ausschreibung,Ausschreibung_45_Pages_Complete,Markdown,0,45,Large,Created
Ausschreibung,Ausschreibung_45_Pages_Complete,Text,0,45,Medium,Created
Evaluation,Evaluation_Reports_15_Pages,HTML,0,15,Medium,Created
Evaluation,Evaluation_Reports_15_Pages,Markdown,0,15,Medium,Created
Evaluation,Evaluation_Reports_15_Pages,Text,0,15,Small,Created
Rejection,Rejection_Letters_3_Formal,HTML,0,6,Small,Created
Rejection,Rejection_Letters_3_Formal,Markdown,0,6,Small,Created
Rejection,Rejection_Letters_3_Formal,Text,0,6,Small,Created
Redesign,Creative_Redesign_Solutions_Report,HTML,0,25,Large,Created
Redesign,Creative_Redesign_Solutions_Report,Markdown,0,25,Medium,Created
Training,Master_Training_Document,Markdown,0,10,Medium,Created
Training,Decision_Patterns,JSON,0,1,Small,Created
Training,Interactive_Training_Summary,HTML,0,1,Medium,Created
Analysis,Complete_Analysis_Data,JSON,0,1,Small,Created
Analysis,Deliverable_Summary,CSV,0,1,Small,Created
Summary,COMPLETE_SUCCESS_SUMMARY,Markdown,0,5,Medium,Created
